,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
56,15,(주)에너지플러스 오곡동충전소,37.555591,126.76601940000002,가산디지털서측,126.8795454,37.4856589,57.0,2.269835411679325
57,15,(주)에너지플러스 오곡동충전소,37.555591,126.76601940000002,가산동,126.8955605,37.4766272,58.0,2.269835411679325
58,15,(주)에너지플러스 오곡동충전소,37.555591,126.76601940000002,독산1동,126.8947892,37.4648929,59.0,1.9821360460396196
59,15,(주)에너지플러스 오곡동충전소,37.555591,126.76601940000002,시흥1동,126.8966903,37.4506021,60.0,1.8040505152965876
60,16,복지장안충전소,37.57615379999999,127.0650373,견인보관소노외,127.0695883,37.5892934,61.0,1.0204057955143275
61,16,복지장안충전소,37.57615379999999,127.0650373,신설동 풍물시장,127.024261,37.572531,62.0,1.4688228130523882
62,16,복지장안충전소,37.57615379999999,127.0650373,장안2동,127.070618,37.578281,63.0,1.292845915976754
63,16,복지장안충전소,37.57615379999999,127.0650373,외대주차빌딩,127.0626233,37.5949959,64.0,1.0521340504681684
64,17,개봉충전소,37.49642120000001,126.8583566,동작구청부설,126.940148,37.512187,65.0,1.7346285867555982
65,17,개봉충전소,37.49642120000001,126.8583566,도화,126.934969,37.49962100000001,66.0,2.2022856564774167
66,17,개봉충전소,37.49642120000001,126.8583566,구릉,126.927312,37.498866,67.0,1.8510206992484963
67,17,개봉충전소,37.49642120000001,126.8583566,보라매공원동문,126.923544,37.493882765900004,68.0,1.8510206992484963
68,18,(주)홍릉가스충전소,37.591046,127.0390423,흑석3동,126.96228700000002,37.506417,69.0,2.3893351311371602
69,18,(주)홍릉가스충전소,37.591046,127.0390423,동작주차공원,126.976331,37.503698,70.0,2.004628788588776
70,18,(주)홍릉가스충전소,37.591046,127.0390423,동작대교,126.980263,37.505942,71.0,2.004628788588776
71,18,(주)홍릉가스충전소,37.591046,127.0390423,마포유수지,126.942649,37.53879000000001,72.0,1.8173638316089815
72,19,한일가스산업(주),37.5018823,126.8756656,망원동,126.906454,37.559666,73.0,1.5246818285125119
73,19,한일가스산업(주),37.5018823,126.8756656,교대역동측,127.0159712,37.4939238,74.0,2.9023762035984912
74,19,한일가스산업(주),37.5018823,126.8756656,언구비 주차빌딩,127.020988,37.504727,75.0,3.840032935192468
75,19,한일가스산업(주),37.5018823,126.8756656,서초구립 반포2동,126.9953925,37.5041685,76.0,2.8808212138589697
76,20,서초충전소,37.4730658,126.9932777,미도아파트 앞 주차빌딩,127.010444,37.4999956,77.0,3.3008818087746232
77,20,서초충전소,37.4730658,126.9932777,반포4동 주민센터 공영주차장,127.0003038,37.497432,78.0,3.3008818087746232
78,20,서초충전소,37.4730658,126.9932777,이수 주차빌딩,126.9853886,37.4962412,79.0,2.7734806286717038
79,20,서초충전소,37.4730658,126.9932777,서울교통공사 사당 부설 주차장,126.985636,37.4763143,80.0,2.8630514437106016
