,node1,node2,node3,node4,origin,2022,2024,2026,2028,lpg_id,node1_id,node2_id,node3_id,node4_id,origin_coor,node1_coor,node2_coor,node3_coor,node4_coor
119,종묘,서인사마당,다산동 공영주차장,초동 공영주차장,한일가스산업(주),0,0,0,1,51,321,322,323,324,"[37.5018823, 126.87566559999999]","[126.994045, 37.574496]","[126.98358586270001, 37.5736815664]","[126.96956211, 37.56494611]","[126.97616311, 37.56645111]"
120,성곽 공영주차장,문화 공영주차장,묵정공원지하 공영주차장,황학어린이공원 공영주차장,태능가스(주),0,0,0,1,27,325,326,327,328,"[37.6169558, 127.0703365]","[126.97925811, 37.56224411]","[126.98067411, 37.56314111]","[126.9801311, 37.56444111]","[126.97296811, 37.56131111]"
121,손기정체육공원 공영주차장,동국제강,약수동 공영주차장,필동 공영주차장,(주)수서에너지,0,0,0,1,69,330,332,333,334,"[37.482795700000004, 127.10282579999999]","[126.97241100000001, 37.55877811]","[126.98347, 37.567229]","[126.97998211, 37.56792511]","[126.97774811, 37.56835511]"
122,서소문삼성생명뒤 공영주차장,남산동 공영주차장,신당사거리 공영주차장,신당역 공영주차장,홍익에너지(주),0,0,0,1,71,335,336,337,338,"[37.5081049, 127.1014515]","[126.98960911, 37.56736110000001]","[126.98113911, 37.56787611]","[126.99596711, 37.56531311]","[126.99666311, 37.56370211]"
123,훈련원 화물대기,버티 공영주차장,중구구민회관 부설주차장,중림종합복지센터 부설주차장,케이와이에너지 (주)한영충전소,0,0,0,1,18,339,340,341,342,"[37.6605626, 127.0391747]","[127.00360900000001, 37.567026]","[126.99573211, 37.56761311]","[127.00501811, 37.56764311]","[126.99401110000001, 37.56767711]"
124,충현어린이공원 공영주차장,충현 공영주차장,다산아트 공영주차장,신당동 공영주차장,강남복지충전소,0,0,0,1,68,343,344,345,346,"[37.4763295, 127.10327609999999]","[127.02288811, 37.56505411]","[126.96621811, 37.55954811]","[127.01677611, 37.56744411]","[127.014296, 37.562026]"
125,중랑초교,면목2동,중곡초교,용마폭포,현대오일뱅크 중곡동충전소,0,0,0,1,2,347,348,349,350,"[37.5600492, 127.07152109999998]","[127.075783364, 37.5891843026]","[127.080895225, 37.5879339365]","[127.082678629, 37.5747601767]","[127.089120441, 37.5733535419]"
126,상봉2동,중화1동,화랑대역,면일초교,국제가스공업(주),0,0,0,1,17,352,353,354,355,"[37.634289700000004, 127.01965679999999]","[127.084324844, 37.593049171]","[127.08165868100001, 37.6027493119]","[127.08668999999999, 37.62009000000001]","[127.099373988, 37.591981498]"
127,봉화산역(남),봉수대,동원시장,은행나무,서울와사공업(주),0,0,0,1,15,356,357,358,359,"[37.636197700000004, 127.0223295]","[127.091907, 37.616427]","[127.09262162700001, 37.607076780199996]","[127.091943773, 37.5900161494]","[127.091577826, 37.5870575753]"
128,늘봄,까치공원,동산 공영주차장,장충 공영주차장,대치에너지주식회사,0,0,0,1,66,360,361,331,329,"[37.49929960000001, 127.0759013]","[127.09640007799999, 37.5898179798]","[127.086967859, 37.5835075461]","[126.97595311, 37.55660411]","[126.97529109999998, 37.55611411]"
