자치구,동_x,㎡당 매매평균가,㎡당 전세평균가,two,one,동_y,면적
광진구,자양3동,773,466,자양,자,자양3동,1.2
광진구,자양4동,773,466,자양,자,자양4동,1.16
광진구,중곡1동,444,281,중곡,중,중곡1동,0.62
광진구,중곡2동,444,281,중곡,중,중곡2동,0.55
광진구,중곡3동,444,281,중곡,중,중곡3동,0.6
광진구,중곡4동,444,281,중곡,중,중곡4동,2.32
광진구,화양동,702,536,화양,화,화양동,1.16
관악구,난향동,602,384,봉천,봉,,
관악구,서림동,602,384,봉천,봉,,
관악구,보라매동,602,384,봉천,봉,,
관악구,서원동,487,312,봉천,봉,,
관악구,대학동,602,384,봉천,봉,,
관악구,난곡동,487,312,봉천,봉,,
관악구,삼성동,602,384,봉천,봉,,
관악구,미성동,487,312,봉천,봉,,
관악구,조원동,487,312,봉천,봉,,
관악구,신사동,487,312,봉천,봉,,
관악구,신원동,487,312,봉천,봉,,
관악구,낙성대동,602,384,봉천,봉,,
관악구,남현동,604,456,남현,남,남현동,3.27
관악구,성현동,602,384,봉천,봉,,
관악구,신림동,487,312,신림,신,신림동,0.96
관악구,은천동,602,384,봉천,봉,,
관악구,인헌동,602,384,봉천,봉,,
관악구,중앙동,602,384,봉천,봉,,
관악구,청룡동,602,384,봉천,봉,,
관악구,청림동,602,384,봉천,봉,,
관악구,행운동,602,384,봉천,봉,,
강서구,발산1동,784,381.5,가양,가,가양1동,1.36
강서구,가양1동,784,381.5,가양,가,가양1동,1.36
강서구,가양2동,684,343,가양,가,가양2동,4.7
강서구,가양3동,684,343,가양,가,가양3동,1
강서구,공항동,529,334,공항,공,공항동,10.87
강서구,등촌1동,621,357,등촌,등,등촌1동,0.59
강서구,등촌2동,621,357,등촌,등,등촌2동,0.92
강서구,등촌3동,621,357,등촌,등,등촌3동,0.79
강서구,방화1동,549,309,방화,방,방화1동,1.04
강서구,방화2동,549,309,방화,방,방화2동,6.41
강서구,방화3동,549,309,방화,방,방화3동,2.38
강서구,염창동,632,393,염창,염,염창동,1.74
강서구,우장산동,759,425,내발,내,,
강서구,화곡1동,613,390,화곡,화,화곡1동,1.11
강서구,화곡2동,613,390,화곡,화,화곡2동,1.12
강서구,화곡3동,613,390,화곡,화,화곡3동,0.47
강서구,화곡4동,613,390,화곡,화,화곡4동,0.51
강서구,화곡6동,613,390,화곡,화,화곡6동,1.12
강서구,화곡8동,613,390,화곡,화,화곡8동,0.53
강서구,화곡본동,613,390,화곡,화,화곡본동,0.82
강북구,인수동,419,260,미아,미,미아동,0.73
강북구,삼각산동,522,332,미아,미,미아동,0.73
강북구,송천동,522,332,미아,미,미아동,0.73
강북구,송중동,522,332,미아,미,미아동,0.73
강북구,삼양동,522,332,미아,미,미아동,0.73
강북구,미아동,522,332,미아,미,미아동,0.73
강북구,번1동,419,260,번동,번,,
강북구,번2동,419,260,번동,번,,
강북구,번3동,419,260,번동,번,,
강북구,수유1동,392,264,수유,수,수유1동,1.07
강북구,수유2동,392,264,수유,수,수유2동,0.73
강북구,수유3동,392,264,수유,수,수유3동,0.86
강북구,우이동,375,266,우이,우,우이동,10.95
강동구,강일동,618,332,강일,강,강일동,2.8
강동구,고덕1동,869,465,고덕,고,고덕1동,1.73
강동구,고덕2동,869,465,고덕,고,고덕2동,2.01
강동구,길동,616,364,길동,길,길동,2.17
강동구,둔촌1동,1335,399,둔촌,둔,둔촌1동,0.92
강동구,둔촌2동,1335,399,둔촌,둔,둔촌2동,0.98
강동구,명일1동,822,370,명일,명,명일1동,0.61
강동구,명일2동,822,370,명일,명,명일2동,0.97
강동구,상일동,742,413,상일,상,상일동,2.65
강동구,성내1동,622,419,성내,성,성내1동,0.58
강동구,성내2동,622,419,성내,성,성내2동,0.67
강동구,성내3동,622,419,성내,성,성내3동,0.71
강동구,암사1동,735,429,암사,암,암사1동,1.02
강동구,암사2동,735,429,암사,암,암사2동,1.18
강동구,암사3동,735,429,암사,암,암사3동,2.51
강동구,천호1동,601,387,천호,천,천호1동,0.71
강동구,천호2동,601,387,천호,천,천호2동,1.57
강동구,천호3동,601,387,천호,천,천호3동,0.79
강남구,개포1동,2538,563,개포,개,개포1동,1.27
