기간	자치구	동	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수	종류별 주택수
기간	자치구	동	합계	주택	주택	주택	주택	아파트	연립주택	다세대주택	비거주용건물내주택
기간	자치구	동	합계	계	단독주택	다가구주택	영업겸용	아파트	연립주택	다세대주택	비거주용건물내주택
2015	은평구	불광2동	7,706	1,801	603	1,025	173	778	456	4,597	74
2015	은평구	응암3동	6,231	1,426	247	931	248	835	135	3,702	133
2015	은평구	역촌동	13,614	1,731	418	925	388	1,672	620	9,403	188
2015	서대문구	소계	92,885	15,568	4,066	9,824	1,678	45,340	5,762	25,250	965
2015	서대문구	천연동	6,150	625	220	338	67	5,106	113	275	31
2015	서대문구	홍제1동	7,238	907	233	582	92	3,802	639	1,822	68
2015	서대문구	홍제3동	5,464	1,322	450	734	138	2,561	237	1,276	68
2015	서대문구	홍제2동	4,823	313	63	213	37	4,050	77	364	19
2015	서대문구	홍은1동	6,764	1,750	787	827	136	3,832	326	802	54
2015	서대문구	홍은2동	8,918	1,202	239	870	93	2,448	918	4,280	70
2015	서대문구	남가좌1동	5,295	53	7	24	22	4,940	186	84	32
2015	서대문구	남가좌2동	7,642	1,634	218	1,183	233	3,651	155	2,113	89
2015	서대문구	북가좌1동	6,065	284	25	232	27	4,770	191	799	21
2015	서대문구	북가좌2동	9,900	1,293	125	996	172	1,953	752	5,802	100
2015	서대문구	충현동	4,928	1,593	737	730	126	1,467	535	1,279	54
2015	서대문구	북아현동	3,419	734	232	434	68	2,189	95	360	41
2015	서대문구	신촌동	5,158	1,160	209	750	201	1,509	246	2,077	166
2015	서대문구	연희동	11,121	2,698	521	1,911	266	3,062	1,292	3,917	152
2015	마포구	소계	116,135	14,302	4,311	7,767	2,224	63,071	3,683	33,508	1,571
2015	마포구	용강동	7,177	258	98	118	42	6,124	106	633	56
2015	마포구	대흥동	3,653	1,577	569	854	154	1,591	24	378	83
2015	마포구	염리동	3,845	1,207	424	652	131	1,791	62	741	44
2015	마포구	신수동	5,858	851	228	505	118	3,438	159	1,340	70
2015	마포구	서교동	8,187	1,521	387	819	315	1,474	353	4,400	439
2015	마포구	합정동	5,996	786	170	491	125	825	318	3,937	130
2015	마포구	망원1동	6,464	1,042	198	637	207	1,125	462	3,729	106
2015	마포구	망원2동	6,385	459	45	283	131	2,393	586	2,848	99
2015	마포구	연남동	5,500	1,385	403	806	176	881	261	2,877	96
2015	마포구	성산1동	5,977	841	210	490	141	605	480	3,960	91
2015	마포구	성산2동	12,258	505	109	338	58	9,562	382	1,758	51
2015	마포구	상암동	9,724	388	124	154	110	8,728	40	547	21
2015	마포구	도화동	7,109	521	161	280	80	6,067	38	445	38
2015	마포구	서강동	8,340	730	196	415	119	5,333	185	2,004	88
2015	마포구	공덕동	9,928	1,782	753	808	221	5,247	195	2,597	107
2015	마포구	아현동	9,734	449	236	117	96	7,887	32	1,314	52
2015	양천구	소계	134,097	9,907	1,438	6,532	1,937	83,827	4,459	34,948	956
2015	양천구	목1동	7,769	127	17	74	36	7,370	42	197	33
2015	양천구	목2동	9,200	662	79	460	123	2,551	514	5,398	75
2015	양천구	목3동	5,918	674	94	455	125	1,827	141	3,227	49
2015	양천구	목4동	6,990	698	45	492	161	2,817	300	3,096	79
2015	양천구	신월1동	5,652	1,179	104	857	218	1,261	443	2,662	107
2015	양천구	신월2동	7,244	305	12	213	80	3,790	933	2,161	55
2015	양천구	신월3동	3,972	1,163	141	866	156	820	180	1,765	44
2015	양천구	신월4동	5,942	194	16	108	70	3,415	473	1,836	24
2015	양천구	신월5동	4,259	513	41	350	122	1,411	420	1,876	39
2015	양천구	신월6동	3,716	830	468	189	173	1,477	236	1,106	67
2015	양천구	신월7동	8,467	59	X	15	41	3,371	107	4,864	66
2015	양천구	신정1동	4,901	300	19	172	109	4,331	6	224	40
2015	양천구	신정2동	6,029	335	46	201	88	5,197	79	347	71
2015	양천구	신정3동	15,236	1,378	242	999	137	12,579	73	1,146	60
2015	양천구	신정6동	7,214	X	X	X	X	7,214	X	X	X
2015	양천구	신정7동	10,413	79	33	36	10	10,192	X	117	25
2015	양천구	목5동	12,391	X	X	X	X	12,390	X	X	X
2015	양천구	신정4동	8,784	1,411	78	1,045	288	1,814	512	4,926	121
2015	강서구	소계	179,045	11,671	1,504	7,998	2,169	107,304	5,306	53,569	1,195
2015	강서구	염창동	12,416	165	26	95	44	11,120	252	823	56
2015	강서구	등촌1동	5,629	218	17	129	72	4,045	327	996	43
2015	강서구	등촌2동	6,170	535	74	401	60	2,614	483	2,498	40
2015	강서구	등촌3동	13,475	9	X	5	X	13,287	X	166	13
2015	강서구	화곡본동	11,273	863	168	517	178	786	632	8,910	82
2015	강서구	화곡2동	5,493	740	67	557	116	338	96	4,255	64
2015	강서구	화곡3동	6,106	542	34	426	82	3,337	120	2,067	40
2015	강서구	화곡4동	6,131	938	79	681	178	694	197	4,213	89
2015	강서구	화곡6동	7,621	589	51	415	123	3,051	692	3,206	83
2015	강서구	화곡8동	8,247	769	98	526	145	683	339	6,400	56
2015	강서구	가양1동	7,570	100	26	51	23	6,707	375	352	36
2015	강서구	가양2동	7,085	X	X	X	X	7,083	X	X	X
2015	강서구	가양3동	7,436	X	X	X	X	7,436	X	X	X
2015	강서구	발산1동	11,852	268	10	210	48	9,142	451	1,951	40
2015	강서구	공항동	4,456	1,466	178	943	345	545	133	2,255	57
2015	강서구	방화1동	12,605	977	129	673	175	9,492	227	1,818	91
2015	강서구	방화2동	7,149	1,283	344	800	139	3,886	315	1,549	116
2015	강서구	방화3동	9,540	120	X	100	17	8,831	90	484	15
2015	강서구	화곡1동	15,587	1,490	145	1,035	310	4,699	241	8,957	200
2015	강서구	우장산동	13,204	599	55	434	110	9,528	336	2,668	73
2015	구로구	소계	118,047	12,469	1,992	8,840	1,637	74,594	7,362	22,783	839
2015	구로구	신도림동	10,968	317	111	123	83	10,399	104	98	50
2015	구로구	구로1동	6,768	X	X	X	X	6,644	X	118	5
2015	구로구	구로3동	7,354	201	58	72	71	5,483	126	1,518	26
2015	구로구	구로4동	8,315	717	105	485	127	5,897	120	1,501	80
2015	구로구	구로5동	8,453	1,049	88	813	148	6,758	113	444	89
2015	구로구	고척1동	7,225	570	186	340	44	5,581	110	910	54
2015	구로구	고척2동	7,446	1,304	123	1,008	173	4,460	275	1,342	65
2015	구로구	개봉2동	10,476	520	44	373	103	6,526	90	3,308	32
2015	구로구	개봉3동	6,280	711	90	496	125	2,267	108	3,118	76
2015	구로구	오류1동	5,560	774	206	510	58	3,222	267	1,257	40
2015	구로구	오류2동	13,623	601	192	335	74	8,978	2,237	1,760	47
2015	구로구	수궁동	7,963	395	150	201	44	1,492	3,165	2,859	52
2015	구로구	가리봉동	2,243	1,075	108	862	105	114	104	902	48
2015	구로구	구로2동	6,350	2,769	431	2,080	258	1,940	118	1,406	117
2015	구로구	개봉1동	9,023	1,465	99	1,142	224	4,833	425	2,242	58
2015	금천구	소계	57,096	9,776	556	8,167	1,053	27,342	3,937	15,549	492
2015	금천구	가산동	4,690	721	82	514	125	2,707	193	998	71
2015	금천구	독산1동	8,457	545	42	421	82	6,629	48	1,174	61
2015	금천구	독산2동	4,134	1,463	58	1,275	130	207	236	2,178	50
2015	금천구	독산3동	5,815	1,468	46	1,252	170	1,449	281	2,551	66
2015	금천구	독산4동	3,444	1,090	24	982	84	449	162	1,705	38
2015	금천구	시흥1동	9,122	1,608	112	1,270	226	4,812	279	2,336	87
2015	금천구	시흥2동	7,788	146	37	91	18	7,531	16	82	13
2015	금천구	시흥3동	3,892	180	33	114	33	367	2,003	1,324	18
2015	금천구	시흥4동	5,226	1,075	63	928	84	1,610	488	2,029	24
2015	금천구	시흥5동	4,528	1,480	59	1,320	101	1,581	231	1,172	64
2015	영등포구	소계	96,195	17,306	3,134	11,842	2,330	65,088	1,562	11,112	1,127
2015	영등포구	여의동	10,127	X	X	X	X	10,127	X	X	X
2015	영등포구	당산1동	5,410	888	195	440	253	4,083	15	305	119
2015	영등포구	당산2동	10,367	374	68	220	86	9,193	22	706	72
2015	영등포구	양평1동	3,901	704	385	184	135	2,884	45	200	68
2015	영등포구	양평2동	6,564	307	75	150	82	4,653	155	1,375	74
2015	영등포구	신길1동	4,061	1,861	268	1,414	179	1,250	137	774	39
2015	영등포구	신길3동	4,153	1,342	190	995	157	2,559	X	206	46
2015	영등포구	신길4동	2,525	841	78	661	102	1,213	X	437	34
2015	영등포구	신길5동	3,022	1,510	267	1,151	92	610	146	720	36
2015	영등포구	신길6동	5,496	1,359	361	880	118	3,356	172	551	58
2015	영등포구	신길7동	3,896	511	99	361	51	2,884	100	365	36
2015	영등포구	대림1동	3,054	1,280	87	1,059	134	1,035	144	518	77
2015	영등포구	대림2동	3,607	1,497	52	1,287	158	937	246	849	78
2015	영등포구	대림3동	7,041	1,186	50	884	252	4,191	56	1,489	119
2015	영등포구	영등포본동	6,275	1,325	322	848	155	3,543	70	1,293	44
2015	영등포구	영등포동	4,809	756	287	271	198	3,364	92	468	129
2015	영등포구	도림동	3,875	1,307	166	1,018	123	1,537	126	856	49
2015	영등포구	문래동	8,012	258	184	19	55	7,669	36	X	49
2015	동작구	소계	109,362	17,113	3,984	11,175	1,954	56,969	5,475	28,726	1,079
2015	동작구	노량진2동	2,748	1,579	370	1,053	156	97	214	771	87
2015	동작구	상도1동	14,115	1,037	257	628	152	9,016	754	3,189	119
2015	동작구	상도2동	7,100	1,142	486	560	96	4,012	250	1,623	73
2015	동작구	상도3동	6,621	1,127	324	682	121	895	793	3,741	65
2015	동작구	상도4동	7,650	1,769	623	1,026	120	688	747	4,378	68
2015	동작구	사당1동	5,163	1,316	91	993	232	487	416	2,819	125
2015	동작구	사당3동	7,031	721	61	554	106	4,559	181	1,513	57
2015	동작구	사당4동	3,835	784	82	591	111	974	170	1,876	31
2015	동작구	사당5동	3,745	683	101	488	94	1,631	226	1,162	43
2015	동작구	대방동	11,073	1,097	273	697	127	7,032	338	2,508	98
2015	동작구	신대방1동	6,317	819	46	668	105	4,630	53	780	35
2015	동작구	신대방2동	5,382	748	142	547	59	3,093	244	1,249	48
2015	동작구	흑석동	9,350	2,237	679	1,337	221	5,382	424	1,227	80
2015	동작구	노량진1동	10,459	1,110	321	670	119	8,087	360	825	77
2015	동작구	사당2동	8,773	944	128	681	135	6,386	305	1,065	73
2015	관악구	소계	121,277	23,159	4,849	15,642	2,668	53,262	6,489	36,436	1,931
2015	관악구	보라매동	5,908	1,453	364	963	126	1,414	646	2,326	69
2015	관악구	청림동	5,267	487	157	296	34	4,390	110	256	24
2015	관악구	행운동	6,760	1,215	130	949	136	3,454	106	1,872	113
2015	관악구	낙성대동	3,454	688	116	457	115	1,392	422	856	96
2015	관악구	중앙동	3,298	1,011	298	585	128	896	157	1,163	71
2015	관악구	인헌동	6,679	904	90	658	156	1,319	692	3,669	95
2015	관악구	남현동	4,751	519	65	372	82	1,966	507	1,714	45
2015	관악구	서원동	5,124	1,035	132	834	69	785	447	2,793	64
2015	관악구	신원동	3,713	1,364	141	1,105	118	673	82	1,496	98
2015	관악구	서림동	4,860	1,100	145	805	150	1,699	265	1,672	124
2015	관악구	신사동	3,901	1,698	79	1,400	219	298	132	1,680	93
2015	관악구	신림동	3,521	1,036	318	547	171	931	14	1,355	185
2015	관악구	난향동	4,843	473	94	357	22	3,872	79	403	16
2015	관악구	조원동	4,688	897	44	656	197	2,077	106	1,472	136
2015	관악구	대학동	4,169	1,143	117	849	177	1,978	232	577	239
2015	관악구	은천동	10,344	1,183	435	600	148	6,053	297	2,703	108
2015	관악구	성현동	10,897	442	146	254	42	8,669	249	1,502	35
