기간	자치구	동	면적	면적	동	동	통	반
기간	자치구	동	면적	구성비(%)	행정	법정	통	반
2018	송파구	잠실6동	2.79	0.5	1	-	20	103
2018	송파구	잠실7동	0.6	0.1	1	-	10	52
2018	송파구	잠실2동	2.18	0.4	1	-	26	156
2018	송파구	잠실3동	1.49	0.2	1	-	33	186
2018	강동구	소계	24.59	4.1	18	9	572	4 578
2018	강동구	강일동	2.8	0.5	1	1	31	227
2018	강동구	상일동	2.65	0.4	1	1	41	147
2018	강동구	명일1동	0.61	0.1	1	1	28	223
2018	강동구	명일2동	0.97	0.2	1	-	26	209
2018	강동구	고덕1동	1.73	0.3	1	1	31	275
2018	강동구	고덕2동	2.01	0.3	1	-	16	134
2018	강동구	암사2동	1.18	0.2	1	1	20	165
2018	강동구	암사3동	2.51	0.4	1	-	20	213
2018	강동구	천호1동	0.71	0.1	1	-	37	320
2018	강동구	천호3동	0.79	0.1	1	1	32	291
2018	강동구	성내1동	0.58	0.1	1	-	24	189
2018	강동구	성내2동	0.67	0.1	1	-	37	350
2018	강동구	성내3동	0.71	0.1	1	1	29	241
2018	강동구	둔촌1동	0.92	0.2	1	-	23	-
2018	강동구	둔촌2동	0.98	0.2	1	-	29	260
2018	강동구	암사1동	1.02	0.2	1	1	39	373
2018	강동구	천호2동	1.57	0.3	1	1	44	414
2018	강동구	길동	2.17	0.4	1	-	65	547
