,0,1,2,4,5,동
124,건지주유소,서울특별시 양천구 목동 121-4번지 ,서울특별시 양천구 안양천로 1171 (목동),37.5451737,126.8799678,목동
125,(주)지에스이앤알 서울주유소,서울특별시 양천구 신정동 1294-6번지 ,서울특별시 양천구 신정로 236 (신정동),37.5105184,126.8454989,신정동
126,신신월 주유소,서울특별시 양천구 신월동 534-24번지 ,서울특별시 양천구 신월로 193 (신월동),37.5200142,126.84188,신월동
127,양천구주유소,서울특별시 양천구 목동 804-35번지 ,서울특별시 양천구 국회대로 275 (목동),37.5302832,126.8633402,목동
128,에이치지에너지 가로공원주유소,서울특별시 양천구 신월동 87-15번지 ,서울특별시 양천구 가로공원로 165 (신월동),37.5369402,126.8320894,신월동
129,(주)부흥에너지 평화주유소,서울특별시 양천구 신정동 161-5번지 ,서울특별시 양천구 안양천로 657 (신정동),37.5058857,126.8685831,신정동
130,SK에너지(주)경인주유소,서울특별시 양천구 신정동 872-5번지 ,서울특별시 양천구 국회대로 170 (신정동),37.528087,126.8516311,신정동
131,신목동셀프주유소,서울특별시 양천구 신정동 296-5번지 ,서울특별시 양천구 신목로7길 11 (신정동),37.5194912,126.8688498,신정동
132,동일석유(주)개나리주유소,서울특별시 양천구 신월동 206-1번지 ,서울특별시 양천구 남부순환로 442 (신월동),37.5280874,126.8307926,신월동
133,(주)서부티엔디,서울특별시 양천구 신정동 1315번지 서부트럭터미널 ,서울특별시 양천구 신정로 167 (신정동),37.5091516,126.8371285,신정동
134,서호주유소,서울특별시 양천구 신월동 52-1번지 ,서울특별시 양천구 남부순환로 317 (신월동),37.5385523,126.8247389,신월동
135,양천주유소,서울특별시 양천구 신정동 151-20번지 ,서울특별시 양천구 목동로 17 (신정동),37.5385471,126.7919081,신정동
136,SK네트웍스(주)SK OK주유소,서울특별시 양천구 목동 122-2번지 ,서울특별시 양천구 안양천로 1179 (목동),37.545811,126.8792374,목동
137,신정동주유소,서울특별시 양천구 신정동 162-40번지 ,서울특별시 양천구 안양천로 663 (신정동),37.5063457,126.8689211,신정동
138,양정주유소,서울특별시 양천구 신정동 872-1번지 ,서울특별시 양천구 국회대로 158 (신정동),37.5280112,126.8503233,신정동
139,형산석유(주)원주유소,서울특별시 양천구 신정동 872-1,서울특별시 양천구 남부순환로 408 (신월동),37.5310027,126.8288329,신정동
140,(주)서우유통에너지,서울특별시 동작구 노량진동 267-6번지 ,서울특별시 동작구 노량진로 78 (노량진동),37.5128292,126.9324135,노량진동
141,살피재주유소,서울특별시 동작구 상도동 468-1번지 ,서울특별시 동작구 상도로 334 (상도동),37.4983211,126.9491876,상도동
142,매일주유소,서울특별시 동작구 상도동 190-1번지 ,서울특별시 동작구 상도로 139 (상도동),37.5027158,126.9329044,상도동
143,서경주유소,서울특별시 동작구 신대방동 687-13번지 ,서울특별시 동작구 대림로 46 (신대방동),37.4879468,126.9060517,신대방동
144,대방주유소,서울특별시 동작구 대방동 383-19번지 ,서울특별시 동작구 여의대방로 214 (대방동),37.5026451,126.9243914,대방동
145,현대오일뱅크(주) 직영 사당셀프주유소,서울특별시 동작구 사당동 1007-47번지 ,서울특별시 동작구 동작대로 73 (사당동),37.4830715,126.979329,사당동
146,대성산업(주) 노량진주유소,서울특별시 동작구 노량진동 148-8번지 ,서울특별시 동작구 노량진로 172 (노량진동),37.5135122,126.9426565,노량진동
147,SK네트웍스(주) 흑석동주유소,서울특별시 동작구 흑석동 9-46번지 ,서울특별시 동작구 현충로 101 (흑석동),37.5107099,126.9568642,흑석동
148,SK네트웍스(주) 21세기주유소,서울특별시 동작구 신대방동 686-44번지 ,서울특별시 동작구 시흥대로 616 (신대방동),37.4871156,126.9033771,신대방동
149,현대오일뱅크(주) 직영 동작주유소,서울특별시 동작구 상도동 121-21번지 ,서울특별시 동작구 상도로 403 (상도동),37.493427,126.9543166,상도동
150,(주)창원현대에너지 동작지점 금성주유소,서울특별시 동작구 상도동 103-1번지 외 1필지 ,서울특별시 동작구 사당로 59 (상도동),37.4948932,126.9592414,상도동
151,한원케미칼(주),서울특별시 동작구 사당동 86-3번지 ,서울특별시 동작구 동작대로 135 (사당동),37.4886663,126.9797675,사당동
152,백산주유소,서울특별시 금천구 시흥동 904번지 (시흥대로 513) ,서울특별시 금천구 시흥대로 174 (시흥동),37.4496089,126.9007661,시흥동
153,구광석유주유소,서울특별시 금천구 가산동 535-155번지 (서부샛길 33) ,서울특별시 금천구 서부샛길 674 (가산동),37.4819679,126.8729604,가산동
154,대득에너지 (금천셀프주유소),서울특별시 금천구 시흥동 983번지 ,서울특별시 금천구 시흥대로 81 (시흥동),37.4415477,126.9009177,시흥동
155,남서울(경복에너지),서울특별시 금천구 독산동 195-2번지 ,서울특별시 금천구 독산로 257 (독산동),37.46981,126.9001476,독산동
156,경복에너지주유소,서울특별시 금천구 시흥동 860-36번지 (독산동길 220) ,서울특별시 금천구 독산로 147 (시흥동),37.4604604,126.9022443,시흥동
157,SK에너지(주) 박미주유소,서울특별시 금천구 시흥동 980번지 (시흥대로 646-2) ,서울특별시 금천구 시흥대로 39-7 (시흥동),37.4371734,126.9002685,시흥동
158,SK네트웍스(주) 순환도로주유소,서울특별시 금천구 독산동 900-4번지 (독산동길 72) ,서울특별시 금천구 남부순환로 1410 (독산동),37.4801783,126.9053054,독산동
159,SK에너지(주) 이가주유소,서울특별시 금천구 독산동 150-6번지 (시흥대로 244) ,서울특별시 금천구 시흥대로 441 (독산동),37.4730006,126.895702,독산동
160,(주)태영유업,서울특별시 금천구 독산동 967번지 (시흥대로 201) ,서울특별시 금천구 시흥대로 484 (독산동),37.4767708,126.8969774,독산동
161,KH에너지(주) 직영 시흥대로주유소,서울특별시 금천구 시흥동 993번지 (시흥대로 466) ,서울특별시 금천구 시흥대로 221 (시흥동),37.453405,126.8983496,시흥동
162,백운주유소,서울특별시 금천구 독산동 1077-3번지 (시흥대로 405) ,서울특별시 금천구 시흥대로 282 (독산동),37.4588515,126.8971531,독산동
163,성부주유소,서울특별시 금천구 가산동 142-13번지 (남부순환로 1274) ,서울특별시 금천구 남부순환로 1272 (가산동),37.4786369,126.8899424,가산동
164,주식회사 명보에너지,서울특별시 금천구 독산동 292-7번지 (시흥대로 312) ,서울특별시 금천구 시흥대로 377 (독산동),37.4672071,126.8949449,독산동
165,협진제유산업(주)동일주유소,서울특별시 성동구 성수동2가 289-2번지 ,서울특별시 성동구 광나루로 254 (성수동2가),37.548454,127.0556252,성수동2가
166,아이콘주유소,서울특별시 성동구 도선동 2-4번지 ,서울특별시 성동구 고산자로 273 (도선동),37.563348,127.030744,도선동
167,태은에너지 KLP제2주유소,서울특별시 성동구 송정동 83-3번지 ,서울특별시 성동구 동일로 249 (송정동),37.5542943,127.0658124,송정동
168,KH에너지(주) 직영 성수만세주유소,서울특별시 성동구 성수동1가 656-1208번지 ,서울특별시 성동구 왕십리로 109 (성수동1가),37.5489606,127.0412,성수동1가
169,삼우 주유소,서울특별시 성동구 용답동 229-5번지 ,서울특별시 성동구 천호대로 392 (용답동),37.5613925,127.0600962,용답동
170,주식회사 서울에너지,서울특별시 성동구 용답동 5-4번지 ,서울특별시 성동구 천호대로 324 (용답동),37.5641954,127.0533907,용답동
171,정호주유소,서울특별시 성동구 마장동 573-1,서울특별시 성동구 고산자로 307 (행당동),37.5668696,127.0342041,마장동
172,현대오일뱅크(주)성동현대주유소,서울특별시 성동구 마장동 771번지 ,서울특별시 성동구 마장로 311 (마장동),37.5669759,127.041513,마장동
173,옥수 주유소,서울특별시 성동구 옥수동 449-5번지 ,서울특별시 성동구 독서당로 168 (옥수동),37.5409535,127.0091985,옥수동
174,청계로 주유소,서울특별시 성동구 하왕십리동 291-9번지 ,서울특별시 성동구 청계천로 454 (하왕십리동),37.5700016,127.0251892,하왕십리동
175,금호주유소,서울특별시 성동구 금호동4가 187-2번지 ,서울특별시 성동구 금호로 39 (금호동4가),37.5470255,127.0228409,금호동4가
176,세원주유소,서울특별시 성동구 성수동1가 13-11번지 ,서울특별시 성동구 광나루로 184 (성수동1가),37.5508115,127.0482541,성수동1가
177,경진주유소,서울특별시 성동구 용답동 229-5번지 ,서울특별시 성동구 천호대로 392 (용답동),37.5613925,127.0600962,용답동
178,SK에너지(주) 군자동주유소,서울특별시 성동구 용답동 236-1번지 ,서울특별시 성동구 천호대로 446 (용답동),37.5605128,127.0660892,용답동
179,SK네트웍스(주)효진주유소,서울특별시 성동구 성수동2가 19-1번지 ,서울특별시 성동구 동일로 129 (성수동2가),37.5467055,127.0546421,성수동2가
180,동부주유소,서울특별시 성동구 성수동1가 656-216번지 ,서울특별시 성동구 광나루로 146 (성수동1가),37.5512688,127.0442805,성수동1가
181,도루코주유소,서울특별시 성동구 성수동2가 19-14번지 ,서울특별시 성동구 아차산로 180 (성수동2가),37.5419698,127.0612573,성수동2가
182,현대오일뱅크(주)성수주유소,서울특별시 성동구 성수동1가 33-96번지 ,서울특별시 성동구 뚝섬로 352 (성수동1가),37.5399558,127.0476936,성수동1가
185,(주)한미석유 구로그린주유소,서울특별시 구로구 구로동 100-10번지 ,서울특별시 구로구 구로중앙로 76 (구로동),37.4962231,126.8863647,구로동
186,동아주유소,서울특별시 구로구 구로동 147-7번지 ,서울특별시 구로구 도림로 91 (구로동),37.4907961,126.8909694,구로동
