,자치구,동,합계_사업체수,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,총_수급자_가구,수입차합계,수입화물차,수입특수차
244,강서구,화곡본동,1356,,,,,,,,812.0,22535.0,201.0,35.0
245,강서구,화곡2동,848,,,,,,,,426.0,22535.0,201.0,35.0
246,강서구,화곡3동,1212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,22535.0,201.0,35.0
247,강서구,화곡4동,1482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,22535.0,201.0,35.0
248,강서구,화곡6동,1846,,,,,,,,449.0,22535.0,201.0,35.0
249,강서구,화곡8동,1259,,,,,,,,436.0,22535.0,201.0,35.0
250,강서구,가양1동,3512,,,,,,,,112.0,22535.0,201.0,35.0
251,강서구,가양2동,595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,22535.0,201.0,35.0
252,강서구,가양3동,907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.0,22535.0,201.0,35.0
253,강서구,발산1동,2340,1.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,22535.0,201.0,35.0
254,강서구,공항동,2096,,,,,,,,532.0,22535.0,201.0,35.0
255,강서구,방화1동,2677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,22535.0,201.0,35.0
256,강서구,방화2동,3318,3.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,22535.0,201.0,35.0
257,강서구,방화3동,908,,,,,,,,1311.0,22535.0,201.0,35.0
258,강서구,화곡1동,3104,3.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,22535.0,201.0,35.0
259,강서구,우장산동,1684,,,,,,,,306.0,22535.0,201.0,35.0
260,구로구,신도림동,2864,2.0,1.0,116445.0,0.0,0.0,0.0,0.0,95.0,12047.0,157.0,38.0
261,구로구,구로1동,736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,12047.0,157.0,38.0
262,구로구,구로3동,7227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,12047.0,157.0,38.0
263,구로구,구로4동,2042,,,,,,,,488.0,12047.0,157.0,38.0
264,구로구,구로5동,4907,4.0,1.0,94202.0,0.0,0.0,0.0,0.0,253.0,12047.0,157.0,38.0
265,구로구,고척1동,2590,5.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,12047.0,157.0,38.0
266,구로구,고척2동,1407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,12047.0,157.0,38.0
267,구로구,개봉2동,1170,,,,,,,,408.0,12047.0,157.0,38.0
268,구로구,개봉3동,990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,12047.0,157.0,38.0
269,구로구,오류1동,1125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,12047.0,157.0,38.0
270,구로구,오류2동,1575,,,,,,,,710.0,12047.0,157.0,38.0
271,구로구,수궁동,1266,,,,,,,,354.0,12047.0,157.0,38.0
272,구로구,가리봉동,986,,,,,,,,469.0,12047.0,157.0,38.0
