,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,수소충전소,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도,interval_1,sum_1,sum_2,interval_2
475,영등포구,영등포동,1477.315869672943,22159.414568880078,295.592564420218,8.0,1.0,6320,674.0,1119074.0,0.15127133623519798,0.3604355047056653,6747784374.434783,0,,,,,신길환승(5호선)공영주차장,공영,노외,88.0,4,미시행,평일,09:00,18:00,00:00,00:00,유료,5.0,100.0,126.91466299999999,37.517666,9,2.4384349556994915,2.5008310777342495,9
476,영등포구,도림동,1254.7934340931615,18821.62675916749,251.06858771060456,1.0,0.0,1052,660.0,1119075.0,0.12783144194103113,0.3622808636279756,6722579682.7894745,0,,,,,도림동 공영주차장,공영,노외,26.0,5,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,50.0,126.896694,37.508188,8,1.9542813785294129,2.022259971477146,8
477,영등포구,문래동,1824.9329162537165,27373.594152626363,365.14641972249746,4.0,0.0,5288,580.0,1119076.0,0.1671337042086012,0.4029894814541428,6657058258.119047,0,(주)세지,서울특별시  영등포구 선유로 37,37.517433399999994,126.88625829999998,문래동 공영주차장,공영,노외,52.0,3,미시행,평일,09:00,18:00,00:00,00:00,유료,5.0,150.0,126.88745300000001,37.516205,9,2.5106891693276894,2.5701354059298867,9
478,영등포구,문래동,1824.9329162537165,27373.594152626363,365.14641972249746,4.0,0.0,5288,580.0,1119076.0,0.1671337042086012,0.4029894814541428,6657058258.119047,0,(주)세지,서울특별시  영등포구 선유로 37,37.517433399999994,126.88625829999998,문래근린공원공영주차장,공영,노외,41.0,2,미시행,평일,09:00,19:00,00:00,00:00,유료,5.0,250.0,126.88500800000001,37.515405,9,2.5106891693276894,2.5701354059298867,9
479,용산구,후암동,1703.0268513607245,15547.550777265493,176.2015055693827,0.0,0.0,859,846.0,1103051.0,0.2270097109251832,0.2335010634434819,2644974799.176471,0,,,,,,,,,,,,,,,,,,,,,5,1.4546037429753347,1.5143713958073133,5
480,용산구,용산2가동,1102.419188869395,10064.385246236076,114.06039822106165,0.0,0.0,557,953.5,1103052.0,0.2047964311479463,0.16754681745084815,2704357676.923077,0,,,,,해방촌노외,공영,노외,24.0,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,유료,5.0,150.0,126.98438300000001,37.544221,4,1.280528049411675,1.3444334522749029,4
481,용산구,용산2가동,1102.419188869395,10064.385246236076,114.06039822106165,0.0,0.0,557,953.5,1103052.0,0.2047964311479463,0.16754681745084815,2704357676.923077,0,,,,,청구 공영주차장,공영,노외,51.0,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,250.0,126.97591211,37.55827811,4,1.280528049411675,1.3444334522749029,4
482,용산구,남영동,774.0700028560938,7066.766249132972,80.08816761189767,0.0,0.0,1714,780.0,1103053.0,0.18417083103880413,0.13081911085749856,2648401965.9047623,0,,,,,,,,,,,,,,,,,,,,,3,1.1375586309548498,1.2040123180621445,3
483,용산구,원효로2동,1371.6728059080338,12522.49932677792,141.9183810028969,1.0,0.0,1010,911.0,1103057.0,0.24894243301416225,0.17149971468589512,2688255811.15,0,,,,,,,,,,,,,,,,,,,,,5,1.4346271842978677,1.4932328799447563,5
484,용산구,효창동,824.4241625525317,7526.46766493941,85.29799665429027,0.0,0.0,462,1024.0,1103058.0,0.2341448913810087,0.10959174145354568,2713562333.090909,0,,,,,,,,,,,,,,,,,,,,,4,1.2702090800238905,1.3321677755370624,4
