,자치구,동,동별_승용차수,edu_percent,동별_친환경자동차수,합계_사업체수,㎡당 매매평균가,가구수별_승용차수,동별_수소차_대수,택시,동별_수소차_비율,승용차수_percentage,interval_1,interval_2,sum_2
32,강동구,성내1동,729.8433598814596,0.32734845664843004,0.1284805614172471,0.12699218998031622,0.1381016644174539,0.17628214002076598,0.03742734018897594,0.6358458056001834,0.00083233148701608,72.98433598814596,5,6,1.5704781582733727
33,강동구,성내2동,894.2284450824226,0.40220850072650105,0.15786228079159603,0.1174677757317925,0.1381016644174539,0.12839272527257503,0.0643997601153445,0.6289422732160778,0.00139115626366457,89.42284450824226,6,6,1.6373749802713409
34,강동구,성내3동,839.6535701055751,0.37735540933242806,0.14810772392593138,0.14762842085211758,0.1381016644174539,0.1438702652164829,0.053663050466098726,0.6165079558214753,0.0011687090606305609,83.96535701055751,6,6,1.6252344900319877
35,강동구,둔촌1동,11.019258195962216,0.0,0.0,0.0,0.45883940620782726,0.0,0.03214212360278747,0.6370819151788646,0.0007228303749030997,1.1019258195962216,10,3,1.1280634449894793
36,강동구,둔촌2동,982.347749583256,0.4423375368309438,0.1736124729281946,0.09683154485999111,0.45883940620782726,0.1612205981457869,0.05628190497678311,0.6395350318822309,0.0012229674768573296,98.2347749583256,9,8,2.0286584958317575
37,강동구,암사1동,1312.5778847934805,0.5927224847568632,0.2326368616057827,0.11645183821194996,0.18893387314439947,0.1491427256246152,0.08238137339959022,0.6229437193984501,0.0017637061147635635,131.25778847934805,9,8,1.9852128761416505
38,강동구,천호2동,1266.1023383959994,0.5715577820856049,0.22432995553610538,0.2303638326242936,0.1286549707602339,0.13339949512686625,0.0888364637694631,0.6413191749837316,0.0018974451134903157,126.61023383959994,9,8,2.018461674886299
39,강동구,길동,1639.7142850527875,0.7416985631706344,0.2911082849578651,0.2509365674011048,0.13540260908681961,0.1383788495444206,0.11168760244772516,0.6286150548596561,0.0023708836296821674,163.97142850527877,9,9,2.2978275314682257
40,강북구,번1동,361.424969419197,0.22766506592526806,0.06452790075685282,0.11010222871293415,0.04678362573099415,0.0627667741766998,0.044572230557752536,0.05734068061752945,0.0009803620224819087,36.1424969419197,10,1,0.6137585064780309
41,강북구,번2동,316.8895343975969,0.19899342654931187,0.056333965149252783,0.03657375071433107,0.04678362573099415,0.07220296101414313,0.03354404840774501,0.04701421785054687,0.000751875982162183,31.68895343975969,10,1,0.4914459954163249
42,강북구,번3동,343.37544555068666,0.21604489338143543,0.06120702522808161,0.05143183694202807,0.04678362573099415,0.07546558282497991,0.03494461716621256,0.05053874220679321,0.0007808934943382534,34.33754455506867,10,1,0.5364163234805249
43,강북구,수유1동,404.40347459857867,0.2553343634368617,0.07243538170500018,0.08444980633691028,0.0346378767431399,0.07293602046088601,0.043119788882304694,0.04890623348087753,0.0009502697876326503,40.44034745985787,10,1,0.6118194710459803
44,강북구,수유2동,407.80699564900976,0.2575255293729104,0.07306158491403626,0.07854466950282557,0.0346378767431399,0.07828036858885111,0.04046908282461238,0.045406572230952034,0.0008953514590327537,40.78069956490098,10,1,0.6079256841773276
45,강북구,수유3동,439.56112289611815,0.2779686413507263,0.07890392761961774,0.1488348466569306,0.0346378767431399,0.06831086678064627,0.050335311634261644,0.04337214961852272,0.001099763711473073,43.956112289611816,10,1,0.7023636204038451
46,강북구,삼양동,481.1094250809037,0.30471718296366107,0.08654826998524462,0.06882976696933138,0.0931174089068826,0.06947260475807403,0.05442289749230771,0.043958665208064136,0.0011844518581202714,48.110942508090375,10,1,0.7210667962835655
47,강북구,미아동,420.515888082003,0.26570743621921983,0.07539985434352213,0.0995618769445679,0.0931174089068826,0.06779385861837103,0.04840563912259522,0.031525440160679964,0.0010597840280304868,42.05158880820031,10,1,0.6815115143158387
48,강북구,송중동,534.9502314850657,0.3393795632498781,0.09645427181329441,0.11810273668169408,0.0931174089068826,0.07004791988721591,0.06032084815296554,0.030686812810093767,0.001306647826061724,53.495023148506576,10,2,0.8081095615020244
49,강북구,송천동,534.4071164238268,0.33902990911114694,0.0963543457692993,0.12724617436027685,0.0931174089068826,0.07015443918112119,0.060165229402024706,0.05248489284535102,0.0013034236580421606,53.44071164238268,10,2,0.8385523995761026
50,강북구,삼각산동,606.9129770992366,0.3857087366317586,0.10969447264264812,0.0427328719283764,0.0931174089068826,0.08652653251586191,0.055652285624740346,0.06198648185268167,0.0012099227854748223,60.69129770992367,2,2,0.8354187901029496
51,강북구,우이동,396.38347552761564,0.250171137321598,0.07095980712200554,0.058860880055876565,0.02699055330634278,0.08044363587252179,0.03817111260238599,0.05518463593420927,0.0008477412446105346,39.638347552761566,10,1,0.58078176221494
52,강북구,인수동,598.2593437901616,0.3801375806879754,0.10810231767499252,0.09238681821068004,0.04678362573099415,0.07738265366209658,0.06135830649257114,0.040297579881826924,0.0013281422795254798,59.82593437901616,10,1,0.8064488823411368
53,강서구,염창동,1509.32867691278,0.5939660843965598,0.4083063327853028,0.12851609626008,0.14260008996851103,0.185520343551403,0.07701000146190992,0.8433641710582495,0.0016524200035594404,150.932867691278,10,9,2.3792831194820163
54,강서구,등촌1동,866.8998676299803,0.3390151863216719,0.23367700830024093,0.113658010032383,0.13765182186234817,0.14881592752011333,0.05412916041585867,0.8668155415829629,0.001178366102500712,86.68998676299805,8,8,1.893762656035579
55,강서구,등촌2동,813.9099784463835,0.317985899276888,0.21927293983544033,0.0403200203187504,0.13765182186234817,0.17695579922831375,0.04230809189534174,0.8483280552346211,0.0009334527430855133,81.39099784463836,7,7,1.7828226276517034
