,자치구,동,edu_percent,동별_친환경자동차수,store_총_개소,백화점_개소,합계_사업체수,㎡당 매매평균가,행정구역코드,가구수별_승용차수,동별_수소차_대수,택시,clus,pca1,pca2,pca3,pca,sum1,sum_clus,cluster,총_점수_interval_10,수소충전소,pca_clus,업체명,동주소,경도,위도,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도
490,강남구,삼성1동,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,4,1058229389.9961334,-1845527458.1290343,-2731985086.0807586,-56451828479.034546,8.720085973648377,10,4,10,0,3,,,,,삼성1동문화센터,공영,노외,67.0,1,요일제,평일+토요일+공휴일,07:00,22:00,00:00,00:00,유료,5.0,400.0,127.0626093517,37.5143551261
491,강남구,삼성1동,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,4,1058229389.9961334,-1845527458.1290343,-2731985086.0807586,-56451828479.034546,8.720085973648377,10,4,10,0,3,,,,,탄천주차장,공영,노외,926.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.066491114,37.5141115358
492,강남구,삼성1동,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,4,1058229389.9961334,-1845527458.1290343,-2731985086.0807586,-56451828479.034546,8.720085973648377,10,4,10,0,3,,,,,삼성로별관 부설,공영,부설,45.0,2,요일제,평일,09:00,18:00,00:00,00:00,유료,5.0,300.0,127.0521408548,37.5159099376
493,강남구,삼성1동,18056.129399236102,435.1999020920517,5.0,1.0,4169,1519.0,1123058.0,0.4006367008954037,0.6884338167892756,5073520212.928572,4,1058229389.9961334,-1845527458.1290343,-2731985086.0807586,-56451828479.034546,8.720085973648377,10,4,10,0,3,,,,,탄천,공영,노외,859.0,기타,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,420.0,2500.0,127.069268,37.51289000000001
494,강남구,삼성2동,36098.05255976311,870.0573967080278,1.0,0.0,3740,1519.0,1123059.0,0.3599781462537353,1.5317782710052068,4878778864.171429,7,1017617051.2473023,-1774699704.4066164,-2627122844.885161,-54285013367.71266,14.656648046297608,10,5,10,0,4,,,,,강남치매지원센터,공영,노외,115.0,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,400.0,127.04637764540001,37.5103116999
495,강남구,삼성2동,36098.05255976311,870.0573967080278,1.0,0.0,3740,1519.0,1123059.0,0.3599781462537353,1.5317782710052068,4878778864.171429,7,1017617051.2473023,-1774699704.4066164,-2627122844.885161,-54285013367.71266,14.656648046297608,10,5,10,0,4,,,,,구청 부설,공영,부설,201.0,2,요일제,평일,09:00,18:00,00:00,00:00,유료,5.0,300.0,127.0470610826,37.5179663586
496,강남구,대치1동,30294.80404710542,730.1839427311569,2.0,0.0,1133,1672.0,1123060.0,0.6032387451227698,0.7671268571641284,4871840735.315789,6,1016167495.7764943,-1772171831.6034184,-2623388379.623883,-54207848607.15737,12.870391276133542,10,4,10,0,4,,,,,,,,,,,,,,,,,,,,
497,강남구,대치4동,25174.63884570913,606.7745815622527,1.0,1.0,3699,1672.0,1123063.0,0.31356246626457296,1.2263867368352481,4989787699.142858,5,1040767180.3240708,-1815073291.8382015,-2686897890.407378,-55520168485.91348,11.110523672174734,10,4,10,0,4,,,,,도산대로25길32,공영,노외,26.0,1,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,400.0,127.0564525891,37.4976788229
498,강남구,대치4동,25174.63884570913,606.7745815622527,1.0,1.0,3699,1672.0,1123063.0,0.31356246626457296,1.2263867368352481,4989787699.142858,5,1040767180.3240708,-1815073291.8382015,-2686897890.407378,-55520168485.91348,11.110523672174734,10,4,10,0,4,,,,,도곡로421,공영,노외,29.0,1,요일제,평일,09:00,19:00,00:00,00:00,유료,5.0,400.0,127.0564525891,37.4976788229
499,강남구,대치4동,25174.63884570913,606.7745815622527,1.0,1.0,3699,1672.0,1123063.0,0.31356246626457296,1.2263867368352481,4989787699.142858,5,1040767180.3240708,-1815073291.8382015,-2686897890.407378,-55520168485.91348,11.110523672174734,10,4,10,0,4,,,,,도곡초교,공영,노외,200.0,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.05446360399999,37.4995106013
500,강남구,역삼1동,43638.01375460542,1051.7901646351377,2.0,0.0,15590,1332.0,1123064.0,0.2637119077948001,2.5276882058154317,4869778572.549021,9,1015744333.1497214,-1771433307.761541,-2622267586.5607605,-54184681087.21892,23.704363204513154,10,5,10,0,4,,,,,도곡로21길7,공영,노외,78.0,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,400.0,127.0388718483,37.4925934254
501,강남구,역삼1동,43638.01375460542,1051.7901646351377,2.0,0.0,15590,1332.0,1123064.0,0.2637119077948001,2.5276882058154317,4869778572.549021,9,1015744333.1497214,-1771433307.761541,-2622267586.5607605,-54184681087.21892,23.704363204513154,10,5,10,0,4,,,,,역삼1동문화센터,공영,노외,118.0,1,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,400.0,127.0332824836,37.4953738379
502,강남구,역삼1동,43638.01375460542,1051.7901646351377,2.0,0.0,15590,1332.0,1123064.0,0.2637119077948001,2.5276882058154317,4869778572.549021,9,1015744333.1497214,-1771433307.761541,-2622267586.5607605,-54184681087.21892,23.704363204513154,10,5,10,0,4,,,,,역삼문화공원,공영,노외,59.0,2,요일제,평일,00:00,00:00,00:00,00:00,유료,5.0,300.0,127.03039046159999,37.5025141908
503,강남구,역삼2동,43591.843478800925,1050.677340337892,2.0,0.0,3480,1332.0,1123065.0,0.39640592236602595,1.67978372442546,4841370918.7,9,1009817129.3757398,-1761096738.2666123,-2606980291.195561,-53868800625.09551,16.618884304681767,10,5,10,0,4,,,,,도곡로327,공영,노외,22.0,1,요일제,평일+토요일+공휴일,09:00,19:00,00:00,00:00,유료,5.0,400.0,127.0516657363,37.4961565104
