,자치구,동,edu_percent,동별_친환경자동차수,총가구,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,인구,면적,인구밀도,행정구역코드,구별_인구_비율,가구수_비율,동별_승용차수,가구수별_승용차수,동별_수소차_대수
43,용산구,보광동,13403.662980945777,151.90467175323352,7475,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,844,545.0,997.0,399.0,22513.0,131.0,6.0,2068,16124,0.71,22710,1103070.0,0.06578807784895345,0.07755356123878197,1468.1925333550942,0.1964137168368019,0.2326606837163459
44,용산구,청파동,17392.17544575462,197.1067689420213,9974,0.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1881,545.0,1024.0,567.0,22513.0,131.0,6.0,2068,20922,0.91,22991,1103071.0,0.0853645599575666,0.10348083207968045,1905.080884573014,0.19100470067906697,0.31044249623904135
45,용산구,원효로1동,13328.847198988127,151.05677914235588,5835,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815,187.0,907.0,520.0,22513.0,131.0,6.0,2068,16034,0.59,27176,1103072.0,0.06542086580439839,0.0605384655288686,1459.997462156759,0.25021378957270934,0.1816153965866058
46,용산구,한강로동,15968.181729160715,180.96854624831695,6757,2.9,9.0,1.0,276688.0,0.0,0.0,4.0,214070.0,4972,280.0,1011.0,512.0,22513.0,131.0,6.0,2068,19209,2.9,6624,1103073.0,0.07837529070953528,0.07010426933651502,1749.1013627646987,0.25885768281259414,0.21031280800954505
47,용산구,한남동,19689.019951854418,223.13707209596473,10074,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080,376.0,1130.0,683.0,22513.0,131.0,6.0,2068,23685,3.01,7869,1103074.0,0.09663796972540699,0.10451833791565078,2156.669570361908,0.21408274472522415,0.3135550137469523
48,성동구,왕십리2동,14696.15076644031,183.22160884526787,6267,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803,295.0,859.0,513.0,21312.0,91.0,11.0,2956,18148,0.41,44263,1104052.0,0.057346356446093226,0.05270815811606392,1211.843204418842,0.19336894916528516,0.21083263246425568
49,성동구,마장동,19562.20597668606,243.88827445862552,9750,1.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3282,420.0,684.0,389.0,21312.0,91.0,11.0,2956,24157,1.06,22790,1104054.0,0.07633435820301268,0.08200168208578637,1613.097657546064,0.1654459135944681,0.3280067283431455
50,성동구,사근동,10857.724789311862,135.36672533597925,7495,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106,121.0,471.0,320.0,21312.0,91.0,11.0,2956,13408,1.11,12079,1104055.0,0.04236830213958662,0.06303616484440706,895.3269608137443,0.11945656581904528,0.25214465937762826
51,성동구,행당1동,13546.242562321662,168.88533572645142,6185,0.59,3.0,0.0,0.0,1.0,142038.0,0.0,0.0,1459,257.0,850.0,485.0,21312.0,91.0,11.0,2956,16728,0.59,28353,1104056.0,0.05285926000827901,0.052018502943650125,1117.021882494952,0.18060175949797122,0.2080740117746005
52,성동구,행당2동,20305.597336813466,253.15637215093074,8786,0.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,592,415.0,850.0,485.0,21312.0,91.0,11.0,2956,25075,0.42,59702,1104057.0,0.0792351712522475,0.07389402859545836,1674.397638902494,0.19057564749630024,0.29557611438183345
