,자치구,동,면적_동,store_총_개소,백화점_개소,백화점_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_건물연면적,전문점_개소,전문점_건물연면적,합계_사업체수,총_수급자_가구,㎡당 매매평균가,㎡당 전세평균가,수입차합계,수입화물차,수입특수차,주택건설현황,남자수,여자수,인구,면적,인구밀도,사용년수,세대수
83,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,15-20,2088
84,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,20-30,3357
85,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,30-40,720
86,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,40-50,421
87,종로구,창신1동,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2302,332.0,556.0,334.0,9497.0,59.0,38.0,548,2666,2548,6237,0.31,20119,50-,221
88,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,0-5,2238
89,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,5-10,1626
90,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,10-15,1950
91,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,15-20,2088
92,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,20-30,3357
93,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,30-40,720
94,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,40-50,421
95,종로구,창신2동,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871,280.0,556.0,334.0,9497.0,59.0,38.0,548,4482,4558,10015,0.26,38519,50-,221
96,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,0-5,2238
97,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,5-10,1626
98,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,10-15,1950
99,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,15-20,2088
100,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,20-30,3357
101,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,30-40,720
102,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,40-50,421
103,종로구,창신3동,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264,118.0,556.0,334.0,9497.0,59.0,38.0,548,3500,3672,7439,0.23,32343,50-,221
104,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,0-5,2238
105,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,5-10,1626
106,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,10-15,1950
107,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,15-20,2088
108,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,20-30,3357
109,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,30-40,720
110,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,40-50,421
111,종로구,숭인1동,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,173.0,697.0,467.0,9497.0,59.0,38.0,548,3093,3276,6723,0.23,29230,50-,221
112,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,0-5,2238
113,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,5-10,1626
114,종로구,숭인2동,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,340.0,697.0,467.0,9497.0,59.0,38.0,548,4430,4293,10088,0.35,28823,10-15,1950
